house,description
Ravenclaw,self-sufficient - very resourceful and vast knowledge = very little outside help needed
Ravenclaw,"cliques - they prefer to stay to themselves and study, rarely interacting with others during assignments"
Ravenclaw,Arrogant - they look down on others on occasion since they are attractive and have good grades
Ravenclaw,"their mascot is an eagle, and the colors are blue and brown/bronze/black depending on the medium"
Ravenclaw,"common room is in a tower, and their password is answering a riddle"
Ravenclaw,"ghost is the Grey Lady, daughter of Rowena Ravenclaw"
Ravenclaw,points hourglass contains blue sapphires.
Ravenclaw,the House colours were chosen; blue and bronze represent the sky and eagle feathers respectively
Ravenclaw,"learning, wisdom, wit, and intellect in its members."
Ravenclaw,tend to be curious about the world and pay attention to the world around them.
Ravenclaw,known to be logical and rational.
Ravenclaw,competitive when it comes to academic success
Ravenclaw,have little rivalry with the other houses
Ravenclaw,"they tended to side with Gryffindor in its rivalry with Slytherin, as did Hufflepuff house."
Ravenclaw,"they’re well-known for being welcoming and encouraging of creativity, eccentricity and individuality and being very accepting."
Ravenclaw,a logical riddle given by a bronze eagle-shaped knocker must be answered to enter.
Ravenclaw,corresponds roughly to the element of air
Ravenclaw,"Members of this house are characterised by their wit, learning, and wisdom"
Ravenclaw,"The emblematic animal symbol is an eagle, and blue and bronze are its colours."
Hufflepuff,most inclusive among the four houses
Hufflepuff,"valuing hard work, dedication, patience, loyalty, and fair play "
Hufflepuff,corresponds roughly to the element of earth
Hufflepuff,"House colours were chosen: yellow represented wheat, while black was emblematic of soil."
Hufflepuff,points hourglass contains yellow diamonds.
Hufflepuff,"hard-working, friendly, loyal, honest and rather impartial."
Hufflepuff,"known to have a strong moral code, and a sense of right and wrong."
Hufflepuff,are usually accepting of everyone. 
Hufflepuff,appears to have the least rivalry with the other houses
Hufflepuff,house that produced the fewest dark wizards through out its history
Hufflepuff,Basement is the common room.
Hufflepuff,dormitory is a quite cosy and welcoming place
Hufflepuff,"are not as competitive as the other houses, and are more modest about their accomplishments. "
Hufflepuff,Their cheerful and friendly demeanour can probably account for this property of the House.
Hufflepuff,humble - they are modest and meek
Hufflepuff,"benevolence -  They do the right thing because it's the right thing, not for glory or selfish reasons"
Hufflepuff,friendly - they don't have biases based on stereotypes like the other Houses
Hufflepuff,hard-working - they don't cheat or look for loop holes. Just good old fashioned work
Hufflepuff,lack of drive - they have a very low competitive nature. This hurts them when it comes to points.
Hufflepuff, take the slow route and don't always make the cut
Hufflepuff,"they never brag or talk about their accomplishments, leading many to think they lack powerful wizards"
Hufflepuff,"this house has the most ""good"" people"
Hufflepuff,"Their mascot is a badger, and their colors are yellow and black"
Hufflepuff,Their main purpose in life is to be kind and generous and to spare people’s feelings.
Hufflepuff,They are also smart and many are very adventurous and courageous.
Hufflepuff,"However, their patient nature and their desire to make others happy are stronger."
Hufflepuff,Earth is the element of stability and in this case deals with nature-like motherly affection
Gryffindor,Gryffindors and Slytherins have shared a fierce house rivalry since their founders
Hufflepuff,"faithful, truehearted, devoted"
Hufflepuff,"staunch, dependable, reliable"
Hufflepuff,"trusted, trustworthy, trusty"
Hufflepuff,"firm, stable, steady, unfailing, patriotic"
Hufflepuff,"self-effacing, self-deprecating, humble, unpretentious"
Hufflepuff,"unassuming, unpresuming, unostentatious, low-key"
Hufflepuff,free from vanity
Hufflepuff,"diffident, timid, reserved, retiring, media-shy, reticent"
Hufflepuff,"quiet, embarrassed, blushing"
Ravenclaw,"intellect, mind, brain"
Ravenclaw,"brains, brainpower"
Ravenclaw,powers of reasoning
Ravenclaw,"judgment, reason, reasoning"
Ravenclaw,"understanding, comprehension"
Ravenclaw,"acumen, wit"
Ravenclaw,"sense, insight"
Ravenclaw,"perceptiveness, perception, perspicaciousness, perspicacity"
Ravenclaw," penetration, discernment"
Ravenclaw,"sharpness, quickness of mind, quick-wittedness"
Ravenclaw,"smartness, canniness, astuteness"
Ravenclaw,"intuition, acuity, alertness, cleverness"
Ravenclaw,"brilliance, aptness, ability, giftedness, talent"
Hufflepuff,"dutiful, unchanging"
Hufflepuff,"unwavering, unswerving"
Hufflepuff,"dedicated, committed"
Hufflepuff,keeping one's light under a bushel
Hufflepuff,"shy, bashful, self-conscious"
Hufflepuff,"fearful, meek, docile"
Slytherin,"crafty, wily"
Slytherin,"artful, guileful"
Slytherin,"devious, sly"
Slytherin,"knowing, scheming"
Slytherin,"designing, tricky"
Slytherin,"slippery, slick, manipulative"
Slytherin,"Machiavellian, deceptive, duplicitous"
Slytherin,"shrewd, astute, clever"
Slytherin,"canny, sharp, sharp-witted, skillful"
Slytherin,"ingenious, resourceful, inventive"
Slytherin,"imaginative, deft, adroit"
Slytherin,"savvy, fiendish, sneaky"
Slytherin,"archaicsubtle, rarevulpine, carny"
Slytherin,self-sustaining
Slytherin,"ego, self-worth, self-image, self-identity, self-regard"
Slytherin,"haughty, conceited, hubristic"
Slytherin,"self-important, opinionated"
Slytherin,"egotistic, full of oneself, superior"
Slytherin,"overbearing, pompous, high-handed"
Slytherin,"swaggering, boastful, bumptious"
Slytherin,"blustering, patronizing, condescending"
Slytherin,"disdainful, contemptuous, imperious"
Slytherin,"proud, vain, immodest"
Slytherin,"lofty, lordly, snobbish, snobby"
Slytherin,"overweening, supercilious, smug"
Slytherin,"pretentious, affected"
Slytherin,"scornful, mocking, sneering, scoffing"
Slytherin,"high and mighty, uppity, snooty"
Slytherin,"stuck-up, toffee-nosed, fancy-pants, snotty, jumped up, too big for one's boots, bigheaded"
