feeling,sentence
sad,I am soooooo tired :(
happy,I got a certficate for perfect attendance!
happy,Grandpa bought me icecream
sad,I miss my best friend.
happy,Everything's coming up daisies
happy, I feel good mama 
sad,I broke a bone
sad ,I wish that my head didn't hurt.
happy,Lift up your hearts
happy,Everything in the garden is rosey
happy,I am going to collect rocks
happy,I will have a great summer!
happy,We are going camping
sad,I can't go to sleep.
sad,Awww I'm really sad.
happy,There is so much to look forward to! 
happy,Tons of fun!
happy,This is so much fun!
sad,charlie bit me! and it hurts!
happy,Today was the best day ever! 
sad,Why did she get more presents than I did?
happy,The pizza is great
happy,went to disneyland :)
sad,I hate haters
sad,I saw a snake
happy,I finally saw the movie!
happy,Crack a smile
happy,I work at Pyxeda
happy,deer in the front yard
sad,a dog bit me
happy,I love chocolate and desserts! 
happy,Domestic bliss
happy,sleeping in late
sad,my life sucks
sad,my leg sprained
sad,dumpster smells bad
sad,I don't like her very much.
sad,I want to go home.
sad,my head hurts
happy,I graduated today with perfect grades!
happy,This is the last week of school!
happy,ice cream every day
happy,I am so lucky to have you as my best friend.
sad,I cannot eat any desserts today. 
happy,"Love, joy, happiness, jubilance, sanguine, euphoria, good are some happy words."
sad,"I have to study this weekend, I can't hang out with you"
sad,Gloom and doom
happy,Daddy loves me
sad,"stop the shouting match here, its giving me a headache"
sad,This food tastes awful! What is this?
happy,Today is Friday?? Yay!!! :D 
happy,We are on time! 
happy,received a hearty welcome
happy,Dream come true
sad,>:( I am mad. 
happy,I love salad! 
sad,I don't feel great today.
sad,dad never came home yesterday
sad,"no power in the house, cannot use my devices"
sad,I wish I got the same thing as her
sad,It's a Heartache
sad,my pet died
happy,I solved a rubik cube in one minute!
happy,I like my jacket
happy,I am so excited for our summer trip!
sad,I feel defeated
happy,Can I have more? It's so delicious!
sad,No one loves me
sad,all my clothes are dirty
happy,I got new shoes
sad,Down in the dumps
sad,My grandma went to the hospital yesterday
happy,On the crest of a wave
happy,I cannot wait to jump in the playhouse! 
happy,The stars are beautiful
sad,I am upset that my dress is ruined! :( 
happy,Let's go play! I finished all my homework
sad,"sorrowful, bleak, miserable, despair, heartbreak are some sad words."
sad,I have slime in my hair!
sad,I am sad.
happy,Warm and fuzzy
sad,I am so sad to see you go. 
sad,Why is she so skinny
happy,Life is rosy
sad,my mom has to travel and I miss her
happy,I made cool looking pancakes with my friends
happy,"The sun is really bright, and the weather is perfect today!"
sad,She is very mean to me
sad,Today is a slow day.
happy,my life is great. Everyone loves me
sad,I want to go to sleep
happy,I cannot believe that the famous rock band is coming to visit us here!!
sad,Today was the worst day ever.
happy,I am going cherry picking
happy,Hahaha I'm so happy!
sad,"Oh no, my ice cream fell! :("
happy,My team won!
happy,Its yummy
sad,its depressing to see rain all the time
happy,This food tastes really good!
happy,"Life, liberty and the pursuit of happiness"
sad,Counsel of despair
happy,I love this cake...it's so yummy! 
sad,I am upset at him for being late.
sad,I have to finsh homework before we can head out for ice cream
happy,Over the moon
sad,My friend is gone away
sad,I lost my ipad :O
happy,Can we stay longer?
happy,Time of your life
happy,Laugh as much as you breathe and love as long as you live.
happy,Let's go to the pool
happy,I won a trophy!
sad,I am very very hungry
sad,I can't go to the theme park today.
sad,I am so depressed
happy,It's a holiday tomorrow!
happy,I love pizza! 
sad,I witnessed a car accident. 
sad,I am nostalgic.
happy,Congratulations on your new job! 
happy,I have enough money! Let's buy it!
sad,my pet is very sick
sad,I wish I had done things differently. 
happy,I am going to do a fundraiser to help other kids
happy,Summer is here!
happy,I got an A on my test!
sad,"I am bloated, I don't feel good..I feel like puking "
sad,All my friends went away for the summer and I am all alone at home
sad,I could not find a job
sad,Sad state of affairs
sad,my friends were mean to me. I dont know why
sad,I don’t want to brush my teeth 
happy,Mom gave me more chocolate
sad,Why can't I get more candy?
happy,"Don't worry, be happy"
sad,why does nothing I try ever work?
sad,My leg hurts
happy,I have a new puppy and he is adorable!
sad,I am feeling blue
sad,I got a bad grade in math 
sad,The cat pooped in the hallway
sad,my room is a mess
sad,I don't want to do homework
happy,The weather is beautiful today 
sad,I cant find my homework!
happy,I went cherry picking!
happy,Let's do something fun this summer!
sad,My doctor says I cannot have sugar
sad,Ohh... I wont be able to be there for program tonight.
happy,jumping with joy
sad,I wish that I weren't allergic to pollen.
happy,I cannot believe I won the lottery! I'm so happy to hear that!
happy,tears of joy
sad,I am unhappy to see that the food has hair in it. 
sad,There is a thunderstom and lightning outside
sad,I wish I could turn back time.
happy,what a beautiful music
sad,Doom and gloom
sad,My swimsuit is full of sand
happy,Keep your chin up
sad,The teacher was mean to me!
sad,my mom yelled at me and I didn't even do anything!
sad,The inflatable obstacle course is out of air. 
happy,I got a new pet!
sad,I don't have enough money
